CustomerID,Country,State,Retired,HasPartner,HasDependents,Education,Gender,BaseCharges,DOC,TotalCharges,DOE,ElectronicBilling,ContractType,PaymentMethod,Multilines,OnlineBackup,InternetServiceCategory,StreamingMovies,OnlineSecurity,DeviceProtection,StreamingTelevision,HasPhoneService,TechnicalSupport,Churn
Cust1218,India,Maharashtra,0,1,1,Masters,Male,434.0,5-1-2012,9704,14-Feb-10,No,One year,Mailed check,No,Yes,Fiber optic,No,No,Yes,No,1,Yes,No
Cust1219,India,Maharashtra,0,2,2,Highschool or below,Male,375.0,5-1-2012,1045.5,7-Oct-11,No,Month-to-month,Mailed check,Yes,No,Fiber optic,No,No,No,No,1,No,Yes
Cust1220,India,Maharashtra,0,1,1,Masters,Male,384.75,5-1-2012,22719.75,31-Jan-07,No,Two year,Bank transfer (automatic),No,Yes,DSL,Yes,No,No,Yes,1,Yes,No
Cust1221,India,Maharashtra,0,1,2,Masters,Female,424.5,5-1-2012,30326.5,5-Feb-06,Yes,Two year,Bank transfer (automatic),Yes,No,DSL,Yes,Yes,Yes,Yes,1,Yes,No
Cust1222,India,Maharashtra,0,2,2,Highschool or below,Female,472.0,5-1-2012,8087.5,13-Aug-10,Yes,Month-to-month,Electronic check,Yes,Yes,Fiber optic,No,Yes,No,Yes,1,No,Yes
Cust1223,India,Maharashtra,0,1,1,Highschool or below,Male,502.75,5-1-2012,35568.75,7-Mar-06,No,One year,Bank transfer (automatic),Yes,Yes,Fiber optic,Yes,No,No,Yes,1,No,No
Cust1224,India,Maharashtra,0,1,1,Graduation,Male,275.5,5-1-2012,7330.5,16-Dec-09,Yes,One year,Mailed check,Yes,No,DSL,No,No,No,No,1,Yes,No
Cust1225,India,Maharashtra,1,1,2,Highschool or below,Female,128.0,5-1-2012,2744,16-Mar-10,No,One year,Bank transfer (automatic),Yes,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1226,India,Maharashtra,1,2,2,Highschool or below,Female,371.0,5-1-2012,371,6-Dec-11,Yes,Month-to-month,Electronic check,Yes,No,Fiber optic,No,No,No,No,1,No,Yes
Cust1227,India,Maharashtra,0,2,2,ProfessionalQalification,Female,432.75,5-1-2012,5334.5,10-Jan-11,Yes,Month-to-month,Electronic check,Yes,No,Fiber optic,Yes,No,No,No,1,No,No
Cust1228,India,Maharashtra,0,1,2,Graduation,Female,100.75,5-1-2012,2284.25,15-Jan-10,No,One year,Mailed check,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1229,India,Maharashtra,0,2,2,ProfessionalQalification,Female,474.5,5-1-2012,23076.25,25-Feb-08,No,One year,Credit card (automatic),Yes,No,Fiber optic,No,Yes,Yes,Yes,1,No,No
Cust1230,India,Maharashtra,0,1,2,ProfessionalQalification,Male,278.5,5-1-2012,15858,1-May-07,No,Month-to-month,Electronic check,No,No,DSL,No,Yes,No,No,1,Yes,No
Cust1231,India,Maharashtra,0,2,1,ProfessionalQalification,Male,249.5,5-1-2012,249.5,6-Dec-11,Yes,Month-to-month,Mailed check,No,No,DSL,No,No,No,No,1,Yes,Yes
Cust1232,India,Maharashtra,0,2,2,Masters,Female,500.25,5-1-2012,26498.25,30-Jul-07,Yes,One year,Credit card (automatic),No,Yes,Fiber optic,Yes,Yes,No,Yes,1,No,No
Cust1233,India,Maharashtra,0,2,2,ProfessionalQalification,Female,95.75,5-1-2012,2506.75,17-Oct-09,No,One year,Mailed check,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1234,India,Maharashtra,0,1,2,Graduation,Male,421.25,5-1-2012,17696.25,24-Jun-08,Yes,One year,Bank transfer (automatic),No,No,Fiber optic,No,Yes,Yes,No,1,Yes,No
Cust1235,India,Maharashtra,0,2,2,Highschool or below,Male,220.75,5-1-2012,220.75,6-Dec-11,Yes,Month-to-month,Mailed check,No,No,DSL,No,No,No,No,1,No,Yes
Cust1236,India,Maharashtra,0,1,1,Masters,Female,526.0,5-1-2012,31127,1-Apr-07,Yes,One year,Credit card (automatic),Yes,Yes,Fiber optic,Yes,No,Yes,Yes,1,No,No
Cust1237,India,Maharashtra,1,2,2,Highschool or below,Female,129.0,5-1-2012,129,6-Dec-11,Yes,Month-to-month,Mailed check,No phone service,No,DSL,No,No,No,No,0,No,Yes
Cust1238,India,Maharashtra,0,1,1,ProfessionalQalification,Male,97.75,5-1-2012,5544,1-Apr-07,Yes,One year,Electronic check,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1239,India,Maharashtra,0,2,2,Masters,Male,407.5,5-1-2012,27766.25,6-May-06,Yes,Two year,Credit card (automatic),Yes,Yes,DSL,Yes,Yes,Yes,No,1,Yes,No
Cust1240,India,Maharashtra,0,2,2,Graduation,Female,426.5,5-1-2012,14587.5,19-Feb-09,No,Month-to-month,Credit card (automatic),Yes,Yes,Fiber optic,No,No,No,No,1,Yes,Yes
Cust1241,India,Maharashtra,0,1,1,Masters,Male,177.5,5-1-2012,2161.25,10-Jan-11,No,Month-to-month,Mailed check,No phone service,Yes,DSL,No,No,No,No,0,Yes,No
Cust1242,India,Maharashtra,0,2,2,Graduation,Male,132.25,5-1-2012,5550.25,24-Jun-08,No,Two year,Bank transfer (automatic),Yes,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1243,India,Maharashtra,0,2,2,Graduation,Male,100.0,5-1-2012,993.5,11-Mar-11,No,Month-to-month,Credit card (automatic),No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1244,India,Maharashtra,0,1,2,Masters,Female,251.0,5-1-2012,9076.5,21-Mar-09,No,Month-to-month,Bank transfer (automatic),No,No,DSL,No,No,No,No,1,Yes,No
Cust1245,India,Maharashtra,0,2,2,Graduation,Male,96.25,5-1-2012,561.5,9-Jun-11,No,Month-to-month,Electronic check,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,Yes
Cust1246,India,Maharashtra,1,1,2,Graduation,Female,450.25,5-1-2012,13136,19-Jul-09,Yes,Month-to-month,Electronic check,Yes,Yes,Fiber optic,No,No,No,Yes,1,No,No
Cust1247,India,Maharashtra,0,1,1,ProfessionalQalification,Female,437.25,5-1-2012,14370.75,21-Mar-09,No,Month-to-month,Electronic check,Yes,No,Fiber optic,No,No,Yes,Yes,1,No,Yes
Cust1248,India,Maharashtra,0,1,1,Masters,Female,96.75,5-1-2012,3418.75,21-Dec-08,No,Month-to-month,Electronic check,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1249,India,Maharashtra,0,1,1,Graduation,Female,521.0,5-1-2012,16217.25,19-Jun-09,Yes,Month-to-month,Electronic check,Yes,No,Fiber optic,Yes,No,Yes,Yes,1,Yes,No
Cust1250,India,Maharashtra,0,2,1,Graduation,Male,272.0,5-1-2012,7583,17-Sep-09,Yes,One year,Credit card (automatic),No,Yes,DSL,No,No,No,No,1,Yes,No
Cust1251,India,Maharashtra,0,1,1,Masters,Female,165.75,5-1-2012,2223.75,10-Jan-11,No,One year,Credit card (automatic),No phone service,No,DSL,No,Yes,No,No,0,Yes,No
Cust1252,India,Maharashtra,0,1,1,ProfessionalQalification,Female,410.25,5-1-2012,20149.75,26-Jan-08,Yes,One year,Mailed check,Yes,No,Fiber optic,Yes,No,No,No,1,No,Yes
Cust1253,India,Maharashtra,0,1,1,Graduation,Male,99.5,5-1-2012,769.75,10-May-11,No,One year,Credit card (automatic),No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1254,India,Maharashtra,1,2,2,Graduation,Female,421.75,5-1-2012,3048.25,9-Jun-11,Yes,Month-to-month,Electronic check,No,No,Fiber optic,No,No,Yes,Yes,1,No,No
Cust1255,India,Maharashtra,0,2,1,ProfessionalQalification,Male,332.0,5-1-2012,4158.75,11-Dec-10,No,Month-to-month,Credit card (automatic),No,No,DSL,Yes,No,No,Yes,1,No,No
Cust1256,India,Maharashtra,0,2,2,Highschool or below,Male,500.5,5-1-2012,21891.75,25-May-08,No,Two year,Bank transfer (automatic),No,No,Fiber optic,Yes,No,Yes,Yes,1,Yes,No
Cust1257,India,Maharashtra,0,2,2,ProfessionalQalification,Female,456.75,5-1-2012,33486,5-Feb-06,Yes,Two year,Bank transfer (automatic),Yes,Yes,DSL,Yes,Yes,Yes,Yes,1,Yes,No
Cust1258,India,Maharashtra,0,2,2,Masters,Female,431.0,5-1-2012,6351,12-Oct-10,No,Month-to-month,Electronic check,No,No,Fiber optic,No,Yes,No,Yes,1,No,Yes
Cust1259,India,Maharashtra,0,1,1,Graduation,Male,99.25,5-1-2012,179.5,6-Nov-11,No,One year,Mailed check,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,Yes
Cust1260,India,Maharashtra,0,1,1,Masters,Male,427.25,5-1-2012,30149.5,7-Mar-06,No,Two year,Bank transfer (automatic),No,Yes,DSL,Yes,Yes,Yes,Yes,1,Yes,No
Cust1261,India,Maharashtra,0,2,2,Graduation,Female,477.5,5-1-2012,30769.25,3-Sep-06,Yes,One year,Electronic check,Yes,Yes,Fiber optic,No,No,Yes,Yes,1,No,No
Cust1262,India,Maharashtra,0,1,2,Masters,Female,402.25,5-1-2012,28688,5-Feb-06,No,Two year,Bank transfer (automatic),Yes,No,Fiber optic,No,Yes,No,No,1,No,No
Cust1263,India,Maharashtra,1,1,2,Masters,Female,392.25,5-1-2012,28411.25,5-Feb-06,No,Two year,Bank transfer (automatic),Yes,Yes,DSL,Yes,Yes,Yes,No,1,Yes,No
Cust1264,India,Maharashtra,0,2,2,Highschool or below,Female,351.25,5-1-2012,351.25,6-Dec-11,Yes,Month-to-month,Electronic check,No,No,Fiber optic,No,No,No,No,1,No,Yes
Cust1265,India,Maharashtra,1,2,2,Highschool or below,Male,102.5,5-1-2012,2147.75,15-Apr-10,No,One year,Bank transfer (automatic),No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1266,India,Maharashtra,0,1,2,Graduation,Male,482.0,5-1-2012,24555.25,28-Oct-07,Yes,One year,Credit card (automatic),Yes,Yes,Fiber optic,Yes,Yes,No,No,1,No,No
Cust1267,India,Maharashtra,0,2,1,Graduation,Male,276.25,5-1-2012,10696,22-Sep-08,Yes,Month-to-month,Mailed check,No,Yes,DSL,No,Yes,No,No,1,No,Yes
Cust1268,India,Maharashtra,0,1,2,Highschool or below,Female,432.5,5-1-2012,9043.5,15-Apr-10,Yes,Month-to-month,Electronic check,Yes,No,Fiber optic,Yes,No,No,No,1,No,Yes
Cust1269,India,Maharashtra,0,2,2,ProfessionalQalification,Female,353.5,5-1-2012,758.25,6-Nov-11,Yes,Month-to-month,Electronic check,No,No,Fiber optic,No,No,No,No,1,No,Yes
Cust1270,India,Maharashtra,0,2,2,Graduation,Female,400.25,5-1-2012,15095.5,21-Dec-08,No,One year,Electronic check,No,Yes,Fiber optic,No,No,Yes,No,1,No,No
Cust1271,India,Maharashtra,0,1,1,Highschool or below,Female,128.75,5-1-2012,4412.75,19-Feb-09,Yes,Month-to-month,Electronic check,Yes,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1272,India,Maharashtra,0,2,2,Highschool or below,Male,409.0,5-1-2012,22672.25,31-May-07,Yes,Two year,Credit card (automatic),No,Yes,DSL,Yes,No,Yes,Yes,1,Yes,No
Cust1273,India,Maharashtra,0,2,2,ProfessionalQalification,Male,94.25,5-1-2012,4336.5,25-Apr-08,No,One year,Bank transfer (automatic),No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1274,India,Maharashtra,0,1,1,Graduation,Male,298.25,5-1-2012,3416.25,9-Feb-11,Yes,Month-to-month,Bank transfer (automatic),No,No,DSL,No,No,Yes,Yes,1,No,No
Cust1275,India,Maharashtra,0,2,2,Highschool or below,Female,173.5,5-1-2012,173.5,6-Dec-11,Yes,Month-to-month,Electronic check,No phone service,No,DSL,No,No,No,Yes,0,No,Yes
Cust1276,India,Maharashtra,0,2,2,Highschool or below,Female,222.25,5-1-2012,1846.5,10-May-11,No,Month-to-month,Mailed check,No,No,DSL,No,No,No,No,1,No,No
Cust1277,India,Maharashtra,0,1,2,Highschool or below,Male,497.0,5-1-2012,8714.75,14-Jul-10,Yes,Month-to-month,Electronic check,Yes,No,Fiber optic,Yes,Yes,No,Yes,1,No,Yes
Cust1278,India,Maharashtra,0,2,2,Highschool or below,Male,369.25,5-1-2012,4631.25,9-Feb-11,Yes,Month-to-month,Electronic check,No,No,Fiber optic,No,No,No,No,1,Yes,Yes
Cust1279,India,Maharashtra,0,1,2,Masters,Female,405.0,5-1-2012,8418.5,15-May-10,Yes,Month-to-month,Mailed check,No,No,Fiber optic,No,No,Yes,No,1,Yes,No
Cust1280,India,Maharashtra,0,2,2,Graduation,Female,103.5,5-1-2012,688,10-May-11,Yes,Month-to-month,Mailed check,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1281,India,Maharashtra,0,1,2,Highschool or below,Female,327.5,5-1-2012,2821.75,10-May-11,No,Two year,Mailed check,No,No,DSL,Yes,Yes,No,No,1,Yes,No
Cust1282,India,Maharashtra,0,1,1,Highschool or below,Male,421.0,5-1-2012,21498.75,28-Oct-07,No,One year,Bank transfer (automatic),Yes,Yes,Fiber optic,No,No,No,No,1,Yes,No
Cust1283,India,Maharashtra,0,2,2,Graduation,Male,271.5,5-1-2012,976.5,7-Sep-11,No,Month-to-month,Electronic check,No,No,DSL,Yes,No,No,No,1,No,Yes
Cust1284,India,Maharashtra,0,1,1,Masters,Female,101.0,5-1-2012,7063.25,6-May-06,No,Two year,Bank transfer (automatic),No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1285,India,Maharashtra,0,1,2,Highschool or below,Female,528.0,5-1-2012,30343.25,31-May-07,Yes,One year,Credit card (automatic),No,Yes,Fiber optic,Yes,Yes,Yes,Yes,1,No,No
Cust1286,India,Maharashtra,0,1,1,Masters,Male,527.5,5-1-2012,32436,2-Dec-06,Yes,Month-to-month,Electronic check,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,1,No,No
Cust1287,India,Maharashtra,0,2,2,Masters,Male,526.5,5-1-2012,2753,8-Aug-11,No,Month-to-month,Electronic check,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,1,No,No
Cust1288,India,Maharashtra,0,1,2,Graduation,Female,349.0,5-1-2012,7701.75,15-May-10,Yes,Month-to-month,Bank transfer (automatic),No,No,Fiber optic,No,No,No,No,1,No,No
Cust1289,India,Maharashtra,0,1,2,Highschool or below,Male,553.0,5-1-2012,39811,5-Feb-06,Yes,Two year,Credit card (automatic),Yes,Yes,Fiber optic,Yes,No,Yes,Yes,1,Yes,No
Cust1290,India,Maharashtra,0,1,2,Highschool or below,Male,538.75,5-1-2012,24414,25-Apr-08,Yes,Month-to-month,Bank transfer (automatic),Yes,Yes,Fiber optic,Yes,No,Yes,Yes,1,No,No
Cust1291,India,Maharashtra,0,2,2,Highschool or below,Male,228.5,5-1-2012,228.5,6-Dec-11,Yes,Month-to-month,Mailed check,No,No,DSL,No,No,No,No,1,No,Yes
Cust1292,India,Maharashtra,0,2,2,ProfessionalQalification,Female,198.5,5-1-2012,3550.25,14-Jun-10,Yes,Month-to-month,Electronic check,No phone service,Yes,DSL,Yes,No,No,No,0,No,No
Cust1293,India,Maharashtra,0,2,2,Graduation,Male,426.25,5-1-2012,8672.5,15-May-10,Yes,Month-to-month,Electronic check,Yes,No,Fiber optic,No,No,No,Yes,1,No,Yes
Cust1294,India,Maharashtra,0,2,2,Graduation,Male,452.25,5-1-2012,26149,1-May-07,Yes,Two year,Credit card (automatic),Yes,No,Fiber optic,No,No,No,Yes,1,Yes,No
Cust1295,India,Maharashtra,0,2,2,Highschool or below,Male,307.75,5-1-2012,7909.75,16-Nov-09,No,One year,Electronic check,Yes,Yes,DSL,No,Yes,No,No,1,No,No
Cust1296,India,Maharashtra,0,1,2,ProfessionalQalification,Male,268.25,5-1-2012,19022,6-May-06,Yes,One year,Credit card (automatic),No,Yes,DSL,No,Yes,No,No,1,No,No
Cust1297,India,Maharashtra,0,1,2,Masters,Male,425.25,5-1-2012,4999,10-Jan-11,Yes,Month-to-month,Credit card (automatic),No,Yes,Fiber optic,Yes,No,No,No,1,No,No
Cust1298,India,Maharashtra,0,1,1,Masters,Male,459.75,5-1-2012,33074.5,5-Feb-06,Yes,Two year,Credit card (automatic),Yes,Yes,DSL,Yes,Yes,Yes,Yes,1,Yes,No
Cust1299,India,Maharashtra,0,2,2,Masters,Male,494.5,5-1-2012,5324.75,11-Mar-11,Yes,One year,Electronic check,No,No,Fiber optic,Yes,Yes,Yes,Yes,1,No,No
Cust1300,India,Maharashtra,0,1,1,ProfessionalQalification,Male,403.25,5-1-2012,27712.75,6-May-06,No,Two year,Bank transfer (automatic),No,Yes,DSL,Yes,Yes,No,Yes,1,Yes,No
Cust1301,India,Maharashtra,0,1,1,Masters,Male,281.25,5-1-2012,7271.25,15-Jan-10,Yes,One year,Credit card (automatic),No,No,DSL,No,Yes,Yes,No,1,No,No
Cust1302,India,Maharashtra,0,1,1,Highschool or below,Male,268.25,5-1-2012,3481.75,10-Jan-11,No,One year,Credit card (automatic),No,No,DSL,Yes,No,No,No,1,No,Yes
Cust1303,India,Maharashtra,0,2,2,ProfessionalQalification,Male,515.25,5-1-2012,26824,28-Sep-07,Yes,Month-to-month,Electronic check,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,1,No,No
Cust1304,India,Maharashtra,0,1,1,ProfessionalQalification,Male,404.25,5-1-2012,7004.25,13-Aug-10,No,Month-to-month,Electronic check,No,No,Fiber optic,No,No,No,Yes,1,No,Yes
Cust1305,India,Maharashtra,0,1,1,Highschool or below,Female,124.0,5-1-2012,5123.5,22-Sep-08,Yes,Two year,Mailed check,Yes,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1306,India,Maharashtra,1,2,2,Masters,Female,360.5,5-1-2012,19430.25,30-Jul-07,No,One year,Mailed check,Yes,Yes,DSL,No,No,No,Yes,1,Yes,No
Cust1307,India,Maharashtra,0,2,2,Highschool or below,Male,275.0,5-1-2012,5232.5,14-Jun-10,Yes,Month-to-month,Credit card (automatic),No,No,DSL,No,No,Yes,No,1,Yes,Yes
Cust1308,India,Maharashtra,0,1,1,Highschool or below,Male,98.0,5-1-2012,4044.75,22-Sep-08,No,Two year,Mailed check,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1309,India,Maharashtra,0,2,2,Highschool or below,Male,100.75,5-1-2012,4945.25,27-Nov-07,No,One year,Credit card (automatic),No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1310,India,Maharashtra,0,1,1,Graduation,Female,97.0,5-1-2012,4790.75,26-Mar-08,No,Two year,Credit card (automatic),No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1311,India,Maharashtra,0,1,1,ProfessionalQalification,Female,530.25,5-1-2012,33517.5,2-Dec-06,Yes,One year,Credit card (automatic),Yes,Yes,Fiber optic,Yes,No,No,Yes,1,Yes,No
Cust1312,India,Maharashtra,0,2,2,Graduation,Male,98.75,5-1-2012,98.75,6-Dec-11,Yes,Month-to-month,Credit card (automatic),No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1313,India,Maharashtra,0,2,2,Highschool or below,Male,97.5,5-1-2012,1129.25,11-Mar-11,No,One year,Mailed check,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1314,India,Maharashtra,0,1,1,Masters,Male,372.75,5-1-2012,15117.75,23-Aug-08,Yes,Month-to-month,Credit card (automatic),Yes,Yes,DSL,No,Yes,Yes,Yes,1,No,No
Cust1315,India,Maharashtra,0,2,2,Graduation,Female,102.75,5-1-2012,480.5,8-Aug-11,No,Month-to-month,Credit card (automatic),No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1316,India,Maharashtra,0,1,2,ProfessionalQalification,Male,422.75,5-1-2012,18569.75,25-Apr-08,Yes,Month-to-month,Mailed check,Yes,No,Fiber optic,No,Yes,Yes,No,1,No,No
Cust1317,India,Maharashtra,1,1,2,Masters,Male,401.5,5-1-2012,12415.25,20-May-09,Yes,Month-to-month,Credit card (automatic),No,No,Fiber optic,Yes,No,No,No,1,No,Yes
Cust1318,India,Maharashtra,0,2,2,Masters,Female,302.0,5-1-2012,1360.75,7-Sep-11,Yes,Month-to-month,Mailed check,No,Yes,DSL,No,Yes,No,No,1,Yes,Yes
Cust1319,India,Maharashtra,0,1,2,Masters,Female,475.75,5-1-2012,11978.5,16-Dec-09,Yes,Month-to-month,Electronic check,No,No,Fiber optic,Yes,No,No,Yes,1,Yes,No
Cust1320,India,Maharashtra,0,2,2,Graduation,Male,349.5,5-1-2012,349.5,6-Dec-11,Yes,Month-to-month,Electronic check,No,No,Fiber optic,No,No,No,No,1,No,Yes
Cust1321,India,Maharashtra,0,1,2,Graduation,Male,440.25,5-1-2012,4006.5,10-Apr-11,Yes,Month-to-month,Electronic check,Yes,No,Fiber optic,Yes,Yes,No,No,1,No,No
Cust1322,India,Maharashtra,1,2,2,Graduation,Male,455.0,5-1-2012,15902.5,19-Feb-09,No,Month-to-month,Credit card (automatic),Yes,No,Fiber optic,Yes,Yes,No,No,1,No,No
Cust1323,India,Maharashtra,0,2,2,Highschool or below,Male,533.25,5-1-2012,8360.5,13-Aug-10,Yes,Month-to-month,Bank transfer (automatic),Yes,Yes,Fiber optic,No,Yes,Yes,Yes,1,Yes,No
Cust1324,India,Maharashtra,0,1,1,Highschool or below,Male,98.0,5-1-2012,3586.5,21-Nov-08,No,Month-to-month,Electronic check,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,1,No internet service,No
Cust1325,India,Maharashtra,0,1,2,Masters,Female,334.0,5-1-2012,23445.75,7-Mar-06,No,One year,Bank transfer (automatic),No phone service,Yes,DSL,Yes,Yes,Yes,Yes,0,Yes,No
Cust1326,India,Maharashtra,1,2,2,Highschool or below,Male,425.75,5-1-2012,2518,9-Jul-11,Yes,Month-to-month,Bank transfer (automatic),No,No,Fiber optic,No,Yes,No,Yes,1,No,Yes
Cust1327,India,Maharashtra,1,2,2,Highschool or below,Male,480.75,5-1-2012,15096.25,20-May-09,Yes,Month-to-month,Credit card (automatic),Yes,No,Fiber optic,Yes,No,No,Yes,1,No,Yes
Cust1328,India,Maharashtra,0,1,1,Highschool or below,Male,224.0,5-1-2012,2796,11-Dec-10,No,Month-to-month,Bank transfer (automatic),No,No,DSL,No,No,No,No,1,No,No
Cust1329,India,Maharashtra,1,1,2,Masters,Female,346.5,5-1-2012,9065.5,16-Dec-09,Yes,Month-to-month,Electronic check,No,No,Fiber optic,No,No,No,No,1,No,No
Cust1330,India,Maharashtra,0,2,2,Graduation,Male,420.5,5-1-2012,8687.25,15-Apr-10,Yes,Month-to-month,Electronic check,Yes,No,Fiber optic,Yes,No,No,No,1,No,No
Cust1331,India,Maharashtra,0,2,2,Masters,Male,250.75,5-1-2012,250.75,6-Dec-11,Yes,Month-to-month,Mailed check,No,Yes,DSL,No,No,No,No,1,No,No
Cust1332,India,Maharashtra,0,2,2,Highschool or below,Male,245.25,5-1-2012,245.25,6-Dec-11,No,Month-to-month,Mailed check,No,No,DSL,No,No,No,No,1,Yes,No
Cust1333,India,Maharashtra,0,1,1,ProfessionalQalification,Male,476.0,5-1-2012,33358.5,6-May-06,Yes,Two year,Credit card (automatic),No,No,Fiber optic,Yes,No,No,Yes,1,Yes,No
Cust1334,India,Maharashtra,1,1,2,ProfessionalQalification,Male,351.5,5-1-2012,351.5,6-Dec-11,Yes,Month-to-month,Electronic check,No,No,Fiber optic,No,No,No,No,1,No,Yes
